appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,initialprice,languages,genre,ccu,tags,Casual,NaN,Action,Accounting,Early Access,Utilities,Indie,Web,Development,Simulation,RPG,Strategy,Free to Play,Adventure,Movie,Violent,Animation & Modelling,Design & Illustration,Racing,Photo Editing,Video Production,MMO,Software,Audio,Sports,Education,has_multiplayer,has_dlc,Developer_score
240,Counter-Strike: Source,Valve,Valve,,128954,5139,"10,000,000 .. 20,000,000",10198,490,999,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Action,5587,"{'Shooter': 5232, 'Action': 3139, 'FPS': 3102, 'Multiplayer': 2470, 'Team-Based': 1657, 'First-Person': 1450, 'Tactical': 1308, 'Competitive': 1299, 'PvP': 1000, 'e-sports': 908, 'Military': 739, 'War': 638, 'Strategy': 509, 'Moddable': 485, 'Singleplayer': 386, 'Difficult': 380, 'Atmospheric': 295, 'Survival': 281, 'Simulation': 243, 'Sandbox': 200}",False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
280,Half-Life: Source,Valve,Valve,,7689,2775,"1,000,000 .. 2,000,000",245,1,999,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",Action,53,"{'FPS': 376, 'Action': 282, 'Classic': 222, 'Sci-fi': 204, 'Singleplayer': 190, 'Shooter': 171, 'First-Person': 170, 'Aliens': 141, ""1990's"": 114, 'Zombies': 113, 'Story Rich': 111, 'Adventure': 93, 'Remake': 83, 'Atmospheric': 80, 'Silent Protagonist': 54, 'Multiplayer': 53, 'Horror': 51, 'Moddable': 40, 'Great Soundtrack': 38, 'Gore': 14}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
300,Day of Defeat: Source,Valve,Valve,,15690,1552,"5,000,000 .. 10,000,000",1056,0,999,English,Action,584,"{'FPS': 621, 'World War II': 474, 'Multiplayer': 340, 'Action': 313, 'Shooter': 287, 'Military': 233, 'Team-Based': 231, 'War': 217, 'First-Person': 172, 'Historical': 142, 'Class-Based': 137, 'Classic': 126, 'Tactical': 110, 'Realistic': 94, 'Online Co-Op': 62, 'Strategy': 45, 'Gore': 43, 'Massively Multiplayer': 32, 'Simulation': 29, 'Comedy': 19}",False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,AAA
320,Half-Life 2: Deathmatch,Valve,Valve,,9262,1012,"10,000,000 .. 20,000,000",700,22,499,English,Action,227,"{'Action': 863, 'FPS': 478, 'Multiplayer': 403, 'Shooter': 257, 'First-Person': 238, 'Sci-fi': 180, 'Physics': 174, 'Competitive': 136, 'Funny': 103, 'Co-op': 93, 'Old School': 87, 'PvP': 61, 'Arena Shooter': 46, 'Moddable': 38, 'Atmospheric': 38, 'Adventure': 29, 'Great Soundtrack': 22, 'Singleplayer': 16, 'Online Co-Op': 9, 'Mod': 8}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
360,Half-Life Deathmatch: Source,Valve,Valve,,2324,769,"5,000,000 .. 10,000,000",607,39,999,English,Action,8,"{'Action': 241, 'FPS': 157, 'Multiplayer': 121, 'Shooter': 95, 'Sci-fi': 85, 'First-Person': 74, 'Classic': 69, 'Remake': 24, 'Adventure': 15, 'Horror': 10, 'Competitive': 10, 'Fast-Paced': 9, 'Atmospheric': 8, 'Singleplayer': 6}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
380,Half-Life 2: Episode One,Valve,Valve,,18698,884,"2,000,000 .. 5,000,000",273,160,799,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,190,"{'FPS': 714, 'Action': 512, 'Sci-fi': 450, 'Singleplayer': 389, 'First-Person': 299, 'Story Rich': 298, 'Shooter': 288, 'Classic': 263, 'Dystopian ': 223, 'Adventure': 215, 'Aliens': 213, 'Zombies': 211, 'Episodic': 160, 'Atmospheric': 157, 'Silent Protagonist': 148, 'Great Soundtrack': 146, 'Short': 137, 'Puzzle': 109, 'Cinematic': 89, 'Moddable': 65}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
400,Portal,Valve,Valve,,99579,1590,"10,000,000 .. 20,000,000",276,115,999,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean",Action,520,"{'Puzzle': 3959, 'Puzzle-Platformer': 2993, '3D Platformer': 2336, 'First-Person': 2336, 'Singleplayer': 1976, 'Sci-fi': 1835, 'Comedy': 1501, 'Female Protagonist': 1406, 'Action': 992, 'Funny': 983, 'Physics': 953, 'Story Rich': 795, 'Classic': 770, 'Platformer': 758, 'Science': 701, 'Atmospheric': 604, 'FPS': 601, 'Short': 581, 'Adventure': 570, 'Dark Humor': 552}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
420,Half-Life 2: Episode Two,Valve,Valve,,26924,874,"2,000,000 .. 5,000,000",385,434,799,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese",Action,259,"{'FPS': 894, 'Action': 660, 'Sci-fi': 548, 'Singleplayer': 484, 'Shooter': 425, 'Story Rich': 377, 'First-Person': 370, 'Classic': 338, 'Adventure': 300, 'Aliens': 279, 'Atmospheric': 251, 'Zombies': 246, 'Silent Protagonist': 230, 'Great Soundtrack': 201, 'Dystopian ': 197, 'Post-apocalyptic': 183, 'Episodic': 151, 'Puzzle': 144, 'Horror': 129, 'Multiplayer': 86}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
500,Left 4 Dead,Valve,Valve,,37269,1516,"2,000,000 .. 5,000,000",1598,29,999,"English, French, German, Spanish - Spain, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese, Simplified Chinese, Swedish, Traditional Chinese, Korean",Action,638,"{'Zombies': 2029, 'Co-op': 1276, 'Multiplayer': 1111, 'FPS': 1092, 'Action': 945, 'Horror': 756, 'Shooter': 751, 'Online Co-Op': 738, 'Team-Based': 596, 'Survival': 592, 'First-Person': 557, 'Post-apocalyptic': 491, 'Singleplayer': 385, 'Atmospheric': 291, 'Adventure': 278, 'Moddable': 262, 'Tactical': 258, 'Replay Value': 233, 'Competitive': 232, 'Female Protagonist': 205}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
550,Left 4 Dead 2,Valve,Valve,,567319,15128,"20,000,000 .. 50,000,000",2216,367,999,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",Action,20834,"{'Zombies': 20299, 'Co-op': 10634, 'FPS': 9483, 'Multiplayer': 8672, 'Shooter': 6587, 'Action': 6322, 'Online Co-Op': 6248, 'Survival': 5209, 'Horror': 4839, 'First-Person': 4211, 'Gore': 3872, 'Team-Based': 3308, 'Moddable': 2699, 'Survival Horror': 2699, 'Post-apocalyptic': 2621, 'Singleplayer': 2138, 'Adventure': 1981, 'Local Co-Op': 1895, 'Replay Value': 1865, 'Tactical': 1832}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
620,Portal 2,Valve,Valve,,277140,3386,"10,000,000 .. 20,000,000",930,210,199,"English, French, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish","Action, Adventure",2717,"{'Platformer': 7068, 'Puzzle': 6657, 'Dark Humor': 6618, 'First-Person': 6579, 'Puzzle-Platformer': 6579, 'Story Rich': 6563, 'Funny': 6486, 'Female Protagonist': 6483, '3D Platformer': 6459, 'Action-Adventure': 6403, 'FPS': 6363, 'Action': 6361, 'Co-op': 4939, 'Physics': 4711, 'Level Editor': 4581, 'Sci-fi': 4550, 'Science': 4490, 'Atmospheric': 4472, 'Comedy': 4472, 'Adventure': 4449}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,Tripwire Interactive,,1913,284,"500,000 .. 1,000,000",71,0,499,"English, French, Russian",Action,15,"{'World War II': 152, 'Action': 125, 'FPS': 118, 'Realistic': 94, 'Multiplayer': 84, 'Singleplayer': 79, 'Shooter': 71, 'War': 63, 'Tactical': 62, 'Military': 59, 'Simulation': 45, 'Historical': 42, 'Team-Based': 34, 'Classic': 29, 'Strategy': 23, 'Atmospheric': 20, 'First-Person': 11, 'Survival': 8, 'Tanks': 8}",False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,,59866,3175,"2,000,000 .. 5,000,000",1800,487,1999,"English, French, Italian, German, Spanish - Spain, Hungarian, Polish, Russian",Action,404,"{'FPS': 1620, 'Zombies': 1595, 'Co-op': 1482, 'Survival': 1168, 'Horror': 1030, 'Action': 1016, 'Multiplayer': 996, 'Online Co-Op': 901, 'Gore': 767, 'Shooter': 732, 'Team-Based': 531, 'First-Person': 465, 'Survival Horror': 373, 'Moddable': 335, 'Great Soundtrack': 267, 'Class-Based': 220, 'Singleplayer': 212, 'Difficult': 210, 'Comedy': 140, 'Adventure': 136}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
1300,SiN Episodes: Emergence,Ritual Entertainment,Ritual Entertainment,,727,90,"100,000 .. 200,000",85,0,999,"English, Russian, French",Action,0,"{'Action': 114, 'FPS': 70, 'Cyberpunk': 48, 'Sci-fi': 34, 'Classic': 30, 'Shooter': 30, 'Singleplayer': 22, 'First-Person': 18, 'Episodic': 16, 'Short': 12, 'Old School': 10, 'Gore': 8, 'Great Soundtrack': 7, 'Futuristic': 7}",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
1309,SiN Episodes: Emergence,Ritual Entertainment,Ritual Entertainment,,322,45,"200,000 .. 500,000",0,0,999,"English, Russian, French",Action,0,"{'Action': 53, 'FPS': 48, 'Cyberpunk': 35, 'Sci-fi': 25, 'Classic': 16, 'Shooter': 14, 'Singleplayer': 13, 'First-Person': 9, 'Episodic': 8}",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
1500,Darwinia,Introversion Software,Introversion Software,,595,181,"500,000 .. 1,000,000",16,0,999,"English, German, French, Italian, Spanish - Spain","Indie, Strategy",2,"{'Strategy': 121, 'Indie': 101, 'RTS': 63, 'Singleplayer': 48, 'Retro': 42, 'Story Rich': 15, 'Action': 13, 'Top-Down': 8, 'Atmospheric': 6}",False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
1510,Uplink,Introversion Software,Introversion Software,,1905,184,"500,000 .. 1,000,000",425,0,999,English,"Indie, Strategy",7,"{'Hacking': 217, 'Indie': 156, 'Strategy': 144, 'Singleplayer': 114, 'Cyberpunk': 107, 'Great Soundtrack': 58, 'Simulation': 57, 'Classic': 53, 'Sci-fi': 47, 'Real-Time with Pause': 41, '2D': 38, 'Experimental': 32, 'Atmospheric': 29, 'Story Rich': 27, 'Addictive': 22, 'Perma Death': 8, 'Rogue-like': 8, 'Puzzle': 8, 'Programming': 5, 'Text-Based': 5}",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
1520,DEFCON,Introversion Software,Introversion Software,,2821,440,"500,000 .. 1,000,000",75,0,999,"English, French, German, Italian, Spanish - Spain","Indie, Strategy",22,"{'Strategy': 270, 'Indie': 167, 'Wargame': 125, 'Cold War': 115, 'Multiplayer': 107, 'Psychological Horror': 69, 'Real-Time with Pause': 59, 'Simulation': 58, 'Atmospheric': 57, 'RTS': 56, 'War': 54, '2D': 39, 'Diplomacy': 39, 'Tactical': 35, 'Great Soundtrack': 30, 'Singleplayer': 29, 'Horror': 22, 'Dark': 18, 'Addictive': 17, 'Military': 12}",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
1530,Multiwinia,Introversion Software,Introversion Software,,415,89,"500,000 .. 1,000,000",20,0,999,"English, French, Italian, German, Spanish - Spain",Indie,2,"{'Indie': 57, 'RTS': 35, 'Strategy': 33, 'Multiplayer': 26, 'Singleplayer': 12, 'Retro': 11}",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
1700,Arx Fatalis,Arkane Studios,Arkane Studios,,1230,176,"200,000 .. 500,000",30,0,499,"English, French, German, Italian, Spanish - Spain, Russian",RPG,13,"{'RPG': 212, 'First-Person': 118, 'Classic': 105, 'Atmospheric': 102, 'Fantasy': 95, 'Dark Fantasy': 94, 'Singleplayer': 81, 'Immersive Sim': 68, 'Underground': 59, 'Adventure': 53, 'Action': 48, 'Story Rich': 41, 'Exploration': 36, 'Magic': 34, 'Dungeon Crawler': 32, 'Horror': 26, 'Action RPG': 23, 'Stealth': 15, 'Open World': 14, 'Inventory Management': 8}",False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
1900,Earth 2160,Reality Pump Studios,"Topware Interactive, ACE",,821,353,"500,000 .. 1,000,000",916,0,499,"English, French, German, Spanish - Spain, Italian, Czech, Polish, Russian",Strategy,13,"{'Base-Building': 958, 'Space': 953, 'RTS': 948, 'Real-Time': 948, 'Action RPG': 940, 'Strategy': 936, 'Post-apocalyptic': 124, 'Historical': 120, 'Action': 118, 'Simulation': 117, 'Pixel Graphics': 111, 'Sci-fi': 107, 'Atmospheric': 96, 'Aliens': 92, 'Futuristic': 90, 'Resource Management': 79, 'Co-op': 72, 'Multiplayer': 68, 'Singleplayer': 56, 'Tactical RPG': 42}",False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
1930,Two Worlds Epic Edition,Reality Pump Studios,Topware Interactive,,3662,1218,"1,000,000 .. 2,000,000",351,30,999,"English, French, German, Italian, Spanish - Spain, Czech, Polish, Russian",RPG,55,"{'RPG': 719, 'Open World': 133, 'Fantasy': 97, 'Third Person': 71, 'Singleplayer': 70, 'Multiplayer': 66, 'Adventure': 65, 'Action': 58, 'Medieval': 52, 'Action RPG': 50, 'Story Rich': 35, 'Character Customization': 27, 'Dark Fantasy': 20, 'Magic': 17, 'Hack and Slash': 14, 'Co-op': 12, 'Exploration': 8, 'Classic': 7, 'Female Protagonist': 5}",False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
2100,Dark Messiah of Might & Magic,Arkane Studios,Ubisoft,,7285,628,"1,000,000 .. 2,000,000",338,41,999,"English, French, German, Italian, Spanish - Spain","Action, RPG",26,"{'RPG': 486, 'First-Person': 419, 'Action': 396, 'Fantasy': 341, 'Dark Fantasy': 225, 'Swordplay': 224, 'Adventure': 221, 'Magic': 207, 'Classic': 166, 'Singleplayer': 139, 'Stealth': 134, 'Multiple Endings': 131, 'Story Rich': 108, 'Medieval': 104, 'Action RPG': 99, 'Atmospheric': 95, 'Gore': 81, 'Hack and Slash': 76, 'Multiplayer': 64, 'Immersive Sim': 54}",False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
2200,Quake III Arena,id Software,id Software,,2591,119,"200,000 .. 500,000",30,0,1499,English,Action,35,"{'FPS': 218, 'Action': 163, 'Arena Shooter': 162, 'Classic': 157, 'Multiplayer': 144, 'Shooter': 98, 'Competitive': 91, ""1990's"": 86, 'First-Person': 73, 'Gore': 68, 'Fast-Paced': 58, 'Difficult': 49, 'Singleplayer': 41, 'Sci-fi': 39, 'Moddable': 39, 'e-sports': 31, 'Old School': 31, 'Atmospheric': 16, 'Retro': 7, 'Female Protagonist': 6}",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
2210,Quake 4,RavenSoft / id Software,Bethesda Softworks,,1948,281,"200,000 .. 500,000",291,0,1499,English,Action,34,"{'FPS': 139, 'Action': 118, 'Shooter': 83, 'Sci-fi': 80, 'Horror': 68, 'Singleplayer': 62, 'Classic': 59, 'Multiplayer': 57, 'Gore': 51, 'First-Person': 51, 'Fast-Paced': 45, 'Dark': 36, 'Atmospheric': 34, 'Arena Shooter': 22, 'Adventure': 13, 'Aliens': 8, 'Moddable': 7}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
2270,Wolfenstein 3D,id Software,Bethesda-Softworks,,2609,152,"200,000 .. 500,000",37,0,499,English,Action,8,"{'FPS': 196, 'Classic': 171, 'Action': 136, 'Retro': 103, 'World War II': 102, ""1990's"": 86, 'Singleplayer': 86, 'Old School': 79, 'First-Person': 72, 'Shooter': 68, 'Pixel Graphics': 39, 'Moddable': 24, '2.5D': 21, 'Cult Classic': 18, 'Difficult': 16, 'Gore': 15, 'War': 12, 'Great Soundtrack': 10, 'Adventure': 10, 'Funny': 6}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
2280,Ultimate Doom,id Software,id Software,,10925,414,"1,000,000 .. 2,000,000",146,0,499,"English, French, Italian, German, Spanish - Spain",Action,75,"{'Classic': 430, 'FPS': 428, 'Action': 273, ""1990's"": 255, 'Great Soundtrack': 224, 'Retro': 202, 'Demons': 191, 'Old School': 182, 'Shooter': 177, 'Singleplayer': 173, 'Gore': 161, 'Moddable': 160, 'First-Person': 158, 'Sci-fi': 136, 'Fast-Paced': 135, 'Violent': 121, 'Multiplayer': 106, '2.5D': 100, 'Difficult': 89, 'Horror': 68}",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,AAA
2290,Final DOOM,id Software,id Software,,956,167,"200,000 .. 500,000",7,0,499,English,Action,3,"{'FPS': 123, 'Action': 107, 'Classic': 104, 'Retro': 71, 'Shooter': 69, 'Singleplayer': 54, ""1990's"": 52, 'First-Person': 52, 'Moddable': 43, 'Sci-fi': 43, 'Difficult': 42, 'Gore': 37, 'Great Soundtrack': 35, 'Multiplayer': 35, 'Demons': 33, 'Old School': 33, 'Zombies': 32, 'Horror': 24, 'Atmospheric': 13, 'Online Co-Op': 12}",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
